resmed_part,description,value,part_data,manufacturer,manufacturer_part,manufacturer_part_alt,package
R22101-305,Anti static bag for Sensor,,,IDT Supplier,300309539-00001-10 REV1,,
R22101-303,Cardboard box for packing Sensor,,,IDT Supplier,300609905-00001-10 Rev1,,
R22101-424,RST- PT59- Top Plastic,,,SunOn,RST-PT59-REV008,,
R22101-425,RST- PT60- Bottom Plastic,,,SunOn,RST-PT60-REV008,,
Z801-0001,Screws for plastic (K3x6mm with security head),,,IDT Supplier,260101324-00000-10,,
R22101-302,FCC Metalized Label,,,IDT Supplier,270111700-00004-10,,
R22101-423,RST- PT57- Top Metal,,,SunOn,RST-PT57-REV011,,
R22101-422,RST- PT58- Bottom Metal,,,SunOn,RST-PT58-REV008,,
Z801-0002,"Screws for metalwork (M2x6mm Stainless Steel, Pan Head)",,,IDT Supplier,260100725-00000-10,,
R22101-420,M4-6mm grub screw (180deg Pre-lock nylon applied),,,Patching,260101510-00000-10,,
E807-0001,12 Stage Binary Ripple Counter,74HC4040,,STMicroelectronics           Texas Instruments ,M74HC4040TTR                              ,SN74HC4040PWR,TSSOP16
E807-0002,4 channel analog mux/demux,74HC4052,,STMicroelectronics           Texas Instruments ,M74HC4052TTR                       ,CD74HC4052PWR,TSSOP16
E805-0001,PHEMT Fet Transistor,ATF-36163,,Avago Technologies,ATF-36163-TR1G,,SOT-363
E802-0001,"Capacitor, surface mount",1000pF,"+/-5%,COG,50V",Murata,GRM1555C1H102JA01D,,402
E802-0002,"Capacitor, surface mount",0.1uF,"+/-10%,X7R,16V",Murata,GRM155R71C104KA88D,,402
E802-0003,"Capacitor, surface mount",1uF,"+/-20%,X5R,6V3",Murata,GRM155R60J105ME19D,,402
E802-0004,"Capacitor, surface mount",10000pF,"+/-10%,X7R,50V",Murata,GRM155R71H103KA88D,,402
E802-0005,"Capacitor, surface mount",10pF,"+/-5%,COG,50V",Murata                                      Yageo,GCM1555C1H100JZ13D        , CC0402JRNP09BN100,402
E802-0006,"Capacitor, surface mount",2pF,"+/-0.05pF,COG,50V",Murata,GRM1555C1H2R0WA01D,,402
E802-0007,"Capacitor, surface mount",22pF,"+/-1%,COG,50V",Murata,GRM1555C1H220FA01D,,402
E802-0008,"Capacitor, surface mount",33pF,"+/-5%,COG,50V",Kemet,C0402C330J5GACTU,,402
E802-0009,"Capacitor, surface mount",33pF,"+/-1%,COG,50V",Murata,GRM1555C1H330FA01D,,402
E802-0010,"Capacitor, surface mount",470pF,"+/-10%,X7R,50V",Murata,GRM155R71H471KA01D,,402
E802-0011,"Capacitor, surface mount",6800pF,"+/-10%,X7R,50V",Murata,GRM155R71H682KA88D,,402
E802-0012,"Capacitor, surface mount",680pF,"+/-10%,X7R,50V",Murata,GRM155R71H681KA01D,,402
E802-0013,"Capacitor, surface mount",1uF,"+/-10%,X7R,16V",Murata,GRM188R71C105KA12D,,603
E802-0014,"Capacitor, surface mount",4u7,"+/-20%,X5R,6V3",TDK,C1608X5R0J475M,,603
E802-0015,"Capacitor, surface mount",1uF,"-20/+80%,Y5V,16V",Murata,GRM219F51C105ZA01D,,805
E802-0016,"Capacitor, surface mount",1pF,"+/- 0.25p,COG,50V",TDK,C1005C0G1H010C,,402
E802-0017,"Capacitor, surface mount",220pF,"+/-5%,COG,50V",TDK,C1005C0G1H221J,,402
E802-0018,"Capacitor, surface mount",10uF Cer,"+/-10%,X5R,50V",Murata,GRM31CR61H106KA12L,,1206
E803-0001,"Capacitor, surface mount",10uF Tant,"+/-10%,10V, ESR<5R",Kemet,T491A106K010AT,T491A106K010ZT,3216
E803-0002,"Capacitor, surface mount",10uF Tant,"+/-10%,10V, ESR<5R",Kemet,T491A106K010AT,T491A106K010ZT,3216
E809-0001,10Way 2mm Pitch Header Connector,DF3DZ-10P-2H,,Hirose,DF3DZ-10P-2H(21),,DF3DZ-10P-2H
E805-0002,Varactor Diode,BB202,,NXP,"BB202,115",,SOD523
E805-0003,"Diode, dual  Schottky detector Infineon",BAT1504W,,Infineon Technologies,BAT 15-04W H6327,,SOT-323
